"SID","day","real_order","E_outgoing","E_quiet","C_lazy","C_reliable","N_worried","N_relaxed","N_depressed","A_rude","A_kind","authentic","SE","Happy","Lonely","pos_emotion","neg_emotion"
"6",1,2,3,3,2,4,2,3,1,1,4,3,3,2,2,NA,1
"6",25,1,2,4,2,3,2,3,1,NA,NA,4,3,3,1,NA,1
"6",37,4,1,4,3,4,3,3,1,NA,NA,4,3,3,2,NA,2
"12",2,5,2,5,3,3,2,3,3,2,5,4,2,3,1,3,3
"12",4,5,3,5,2,3,2,2,2,2,3,4,3,3,2,3,2
"12",5,6,2,4,2,4,2,3,2,1,4,3,3,3,1,NA,2
"12",8,6,2,5,4,3,3,3,3,1,3,4,2,2,2,3,2
"12",9,7,4,3,4,3,2,4,2,1,4,4,3,4,2,NA,2
"12",12,7,1,5,3,3,1,4,2,NA,NA,4,3,3,1,3,2
"12",13,1,3,3,2,3,2,4,2,1,4,4,3,4,2,NA,2
"12",17,2,2,5,5,3,2,4,2,NA,NA,4,3,3,2,NA,2
"12",20,2,3,3,2,3,2,3,2,2,4,3,3,3,2,3,3
"12",21,3,5,2,2,3,2,4,2,2,4,4,4,4,2,NA,2
"12",24,3,1,5,4,2,2,3,3,NA,NA,2,2,2,2,2,4
"12",25,4,1,5,5,2,4,3,4,NA,NA,3,3,2,1,NA,3
"12",28,4,4,2,2,3,2,4,2,1,4,4,4,3,1,4,2
"12",29,5,5,1,2,4,2,5,1,2,4,4,4,4,2,NA,2
"12",37,7,4,2,2,4,2,4,2,2,4,4,4,4,2,NA,2
"12",40,7,2,4,3,3,2,4,2,2,3,4,3,3,2,3,2
"12",53,4,4,2,2,4,3,3,2,1,4,3,3,3,2,NA,3
"17",1,2,4,2,2,4,2,3,2,3,5,3,4,4,4,4,2
"17",5,3,2,4,3,3,3,3,2,1,3,4,4,3,3,NA,3
"17",8,3,1,5,4,3,3,3,2,2,3,2,4,4,4,3,2
"17",9,4,3,4,2,4,2,4,1,1,3,3,4,3,3,NA,2
"17",12,4,1,5,3,3,3,3,1,1,2,3,4,4,3,4,1
"17",13,5,3,4,3,3,2,3,1,1,3,4,4,4,1,NA,1
"17",17,6,2,5,4,3,1,5,1,1,3,4,5,4,2,NA,1
"17",25,1,3,4,1,4,1,4,1,1,3,4,5,5,1,NA,1
"17",29,2,4,2,3,5,1,5,2,2,5,5,5,3,1,NA,2
"17",32,2,5,1,2,5,1,4,1,1,3,5,5,5,1,5,1
"17",33,3,5,2,2,4,1,5,1,1,3,5,5,5,1,NA,1
"17",36,3,2,5,5,1,2,3,3,1,1,2,2,1,5,1,3
"17",37,4,1,5,1,5,2,3,1,1,1,4,5,3,1,NA,2
"17",40,4,3,5,3,2,2,4,2,2,2,1,4,3,3,3,3
"17",41,5,2,4,4,3,1,4,1,1,1,4,4,3,2,NA,1
"17",45,6,2,5,5,4,1,4,1,1,1,5,5,4,1,NA,2
"17",53,1,3,4,2,4,1,5,1,1,5,5,5,4,1,NA,1
"19",2,1,2,4,2,3,2,4,2,2,5,3,4,3,2,3,2
"19",4,1,3,2,3,2,2,3,3,2,4,3,3,3,3,4,2
"19",5,2,2,3,2,4,4,3,2,2,2,2,3,3,2,NA,2
"19",9,3,2,4,2,4,2,4,2,2,2,3,4,3,3,NA,2
"19",12,3,4,2,4,3,2,4,2,2,3,4,3,4,2,4,2
"19",13,4,2,4,2,4,1,4,1,2,3,3,3,3,2,NA,2
"19",21,6,4,3,2,3,2,4,2,2,3,4,3,3,2,NA,2
"19",29,1,2,4,3,3,2,4,2,2,3,2,4,3,2,NA,2
"36",0,1,4,2,2,5,3,3,2,3,1,4,3,3,2,2,1
"36",4,1,1,5,4,3,5,1,5,1,2,3,1,1,5,1,5
"36",5,2,2,5,2,2,4,1,2,1,3,3,1,2,2,NA,3
"36",8,2,2,5,2,3,2,3,2,NA,NA,4,3,2,3,3,3
"36",9,3,2,3,2,3,4,2,4,1,3,2,3,3,4,NA,3
"36",13,4,2,5,3,2,3,2,2,1,4,3,2,2,2,NA,2
"36",16,4,1,5,2,3,2,2,2,NA,NA,3,3,2,3,2,2
"36",17,5,2,3,2,3,3,2,1,1,2,3,3,2,2,NA,2
"36",20,5,2,5,1,2,1,4,3,NA,NA,2,3,2,3,2,1
"36",21,6,2,2,3,3,2,4,1,1,2,3,3,3,1,NA,3
"36",24,6,1,5,2,1,1,2,2,NA,NA,2,3,1,2,2,1
"36",25,7,2,5,3,5,1,2,1,NA,NA,4,4,4,1,NA,2
"36",28,7,3,3,4,4,2,2,1,1,2,4,2,4,3,3,3
"36",29,1,1,4,2,3,3,1,1,1,3,3,2,1,2,NA,5
"41",0,2,4,3,2,3,2,5,1,4,2,4,4,4,1,4,2
"41",1,2,3,2,2,5,1,5,1,1,4,4,4,4,1,NA,1
"41",4,2,1,5,2,3,2,5,1,NA,NA,3,3,4,3,5,2
"45",0,5,3,5,2,3,4,2,2,2,5,3,3,2,2,3,3
"45",1,5,5,2,2,4,2,4,1,2,4,4,4,4,2,NA,2
"45",4,5,2,5,2,4,2,3,1,1,3,4,4,3,3,4,3
"45",5,6,5,1,1,5,2,3,1,1,4,4,4,4,2,NA,2
"45",8,6,3,4,2,3,2,4,2,2,3,3,4,4,2,4,1
"45",12,7,3,5,1,4,3,3,4,2,4,3,1,2,4,2,5
"45",13,1,2,4,2,5,2,4,2,2,4,4,4,4,2,NA,2
"45",17,2,2,4,1,4,4,2,2,2,4,4,3,3,2,NA,3
"45",20,2,5,1,3,3,2,5,1,2,3,4,4,4,1,5,1
"45",25,4,3,5,1,3,5,1,2,2,4,4,3,3,1,NA,4
"45",29,5,5,2,2,3,3,3,1,2,4,4,5,4,1,NA,2
"45",32,5,3,3,4,4,2,5,2,2,4,4,3,4,2,4,2
"45",36,6,5,3,2,3,3,2,2,2,4,4,3,3,2,3,3
"45",40,7,3,3,2,5,3,2,2,2,3,4,3,3,3,3,3
"45",41,1,3,3,1,5,4,2,1,2,4,4,4,4,2,NA,3
"45",44,1,4,1,1,5,5,1,3,4,2,5,4,2,1,3,5
"45",48,2,3,3,2,4,3,4,1,3,3,5,5,3,1,3,3
"46",0,2,3,3,2,4,2,4,1,2,4,4,5,4,2,4,2
"46",4,2,4,3,1,4,2,4,1,1,4,4,4,4,2,4,2
"46",5,3,4,2,1,4,2,4,1,1,4,5,4,4,1,NA,2
"46",8,3,2,5,3,4,1,4,1,NA,NA,4,4,4,3,4,2
"46",17,6,4,2,2,4,2,4,1,1,5,4,4,4,1,NA,2
"46",20,6,4,2,3,4,2,4,1,1,5,5,4,4,1,4,2
"46",29,2,2,5,2,3,2,3,1,1,4,3,4,4,3,NA,2
"46",32,2,4,3,2,3,1,3,1,1,4,4,4,4,1,4,2
"46",41,5,2,4,2,4,2,3,1,NA,NA,4,4,3,2,NA,2
"46",49,7,2,4,3,4,1,4,1,NA,NA,4,3,3,2,NA,1
"51",1,2,1,5,1,5,2,5,1,2,5,5,5,4,2,4,2
"51",4,2,1,5,1,4,2,3,3,1,5,5,3,3,2,3,3
"51",5,3,4,2,3,5,1,5,1,1,5,5,5,5,1,NA,1
"51",8,3,3,3,3,5,2,4,2,2,4,4,4,4,1,4,2
"51",9,4,3,4,1,5,2,4,1,1,5,4,5,5,1,NA,2
"51",12,4,3,3,2,2,3,3,2,1,5,5,3,3,1,3,3
"51",13,5,1,5,1,5,3,4,1,1,5,3,5,4,1,NA,2
"51",16,5,4,2,3,5,1,5,1,1,5,5,4,5,1,5,1
"51",17,6,3,3,1,3,3,4,1,1,4,4,4,4,1,NA,2
"51",20,6,1,5,5,1,2,4,1,2,4,5,3,4,2,4,2
"51",21,7,1,4,1,3,2,3,1,1,5,4,3,4,1,NA,2
"51",24,7,3,2,2,5,2,5,1,1,5,5,4,5,1,4,1
"51",25,1,3,3,3,4,3,2,2,2,4,5,4,3,1,NA,3
"51",28,1,2,4,2,3,5,3,3,2,4,3,2,3,1,2,3
"51",29,2,2,3,2,3,3,3,2,1,4,3,3,3,1,NA,3
"51",33,3,2,4,2,3,3,2,2,2,4,4,3,3,1,NA,1
"51",37,4,3,2,1,4,2,4,1,1,5,5,4,5,1,NA,3
"51",40,4,1,5,2,4,1,4,2,NA,NA,4,4,3,3,3,2
"51",41,5,4,2,1,3,3,3,1,1,3,4,5,4,1,NA,2
"51",44,5,3,4,2,5,1,5,1,1,5,5,5,5,1,5,1
"51",45,6,3,3,2,4,1,5,1,1,5,5,5,4,1,NA,2
"51",48,6,1,5,3,4,2,4,1,1,5,5,4,4,2,4,2
"51",49,7,2,4,2,4,2,4,1,1,5,3,4,4,1,NA,1
"51",52,7,3,3,2,4,4,4,1,1,5,5,4,4,1,4,2
"51",53,1,4,3,1,5,2,3,1,1,5,5,4,4,1,NA,1
"51",56,1,1,4,2,2,3,2,4,2,2,4,2,2,2,2,4
"51",57,2,4,4,3,3,2,3,1,2,3,4,3,4,3,NA,3
"52",1,3,4,3,2,4,2,4,1,2,4,4,4,4,2,NA,2
"52",4,3,4,3,3,3,2,3,2,2,3,3,3,4,2,4,2
"52",8,4,3,3,3,3,3,4,2,2,3,4,4,3,2,3,2
"52",9,5,4,3,3,4,3,4,2,2,3,3,4,3,2,NA,2
"52",12,5,4,2,2,4,2,3,2,NA,NA,4,4,4,1,4,2
"52",13,6,3,2,2,4,3,2,2,2,4,4,4,3,2,NA,2
"52",21,1,2,4,3,3,3,3,2,2,3,3,3,3,2,NA,3
"52",24,1,3,3,2,4,3,3,2,2,3,4,3,3,2,3,2
"52",28,2,4,2,2,3,2,4,2,2,3,4,4,4,2,4,2
"52",29,3,2,3,2,4,3,3,2,2,3,3,4,4,2,NA,2
"54",0,5,2,2,1,3,3,3,1,3,2,5,5,4,1,4,2
"54",1,5,3,3,2,4,1,5,1,NA,NA,5,5,5,1,NA,1
"54",4,5,5,2,2,5,1,5,1,1,4,5,5,5,1,5,1
"54",5,6,4,2,1,5,2,3,1,1,4,5,5,4,1,NA,1
"54",12,7,4,2,1,3,2,3,1,NA,NA,4,5,4,1,4,2
"54",13,1,4,3,1,4,1,3,1,1,3,5,4,4,1,NA,1
"54",16,1,3,3,2,4,1,3,1,NA,NA,5,5,4,1,4,1
"54",17,2,2,3,1,5,1,5,1,NA,NA,5,5,5,1,NA,1
"54",20,2,4,2,1,4,1,3,1,1,4,5,5,5,1,5,1
"54",21,3,4,3,1,4,1,3,1,1,3,5,5,4,1,NA,1
"54",24,3,3,3,1,5,1,1,2,1,3,4,5,3,1,3,1
"54",25,4,4,3,1,4,1,2,1,1,3,4,4,3,1,NA,1
"54",28,4,4,2,1,5,3,1,1,1,4,5,4,5,1,4,1
"54",32,5,3,3,2,4,1,5,1,NA,NA,5,5,5,1,5,1
"54",36,6,2,3,1,3,3,1,1,1,3,5,5,3,1,3,2
"54",40,7,3,4,1,5,1,4,1,NA,NA,4,5,4,1,4,1
"54",41,1,5,3,1,5,1,5,1,1,4,5,5,5,1,NA,1
"54",45,2,5,1,1,4,1,5,1,1,4,5,5,5,1,NA,1
"54",48,2,4,3,1,5,1,4,1,NA,NA,5,5,5,1,5,1
"54",49,3,4,3,1,5,1,4,1,1,4,5,5,5,1,NA,1
"54",52,3,3,3,1,4,1,3,1,1,2,3,5,3,1,4,1
"54",53,4,2,4,1,4,1,3,2,1,3,5,4,3,1,NA,2
"54",56,4,3,3,2,5,1,5,1,NA,NA,5,5,5,1,5,1
"54",60,5,5,1,1,5,1,5,1,1,4,5,5,5,1,5,1
"60",0,4,1,5,2,5,3,2,1,3,2,4,5,4,1,4,1
"60",1,4,3,3,1,5,5,2,1,1,2,3,2,3,1,NA,3
"60",4,4,5,3,1,2,1,5,1,2,3,4,3,5,1,5,1
"60",8,5,3,2,2,2,1,2,1,3,2,2,4,3,1,3,4
"60",16,7,2,1,4,3,3,1,1,3,5,2,3,2,1,3,4
"60",17,1,2,5,1,5,4,2,3,1,4,3,3,2,3,NA,3
"61",1,2,3,2,2,3,2,4,1,4,2,4,4,3,1,3,2
"61",4,2,2,4,2,2,3,2,1,1,2,2,3,2,1,2,4
"61",5,3,2,4,2,2,3,3,1,2,2,2,3,2,1,NA,3
"61",8,3,1,4,2,2,4,2,1,NA,NA,3,3,3,1,3,2
"61",9,4,3,3,2,3,2,3,1,1,4,4,4,3,1,NA,2
"61",12,4,5,2,5,3,1,4,1,2,4,3,4,4,2,5,2
"61",13,5,5,2,3,3,1,4,1,1,3,3,3,4,1,NA,1
"61",16,5,4,2,3,3,2,2,1,2,3,2,2,3,2,3,2
"61",17,6,3,2,3,3,2,2,2,1,5,4,2,4,2,NA,2
"61",20,6,4,2,5,3,1,4,2,2,3,4,3,4,2,4,2
"61",24,7,4,1,1,3,1,3,1,2,4,4,3,4,1,4,2
"61",25,1,2,3,2,3,1,3,1,1,3,3,4,4,1,NA,1
"61",28,1,3,1,1,4,1,3,1,2,3,2,3,3,1,4,2
"61",29,2,1,5,3,3,2,3,1,1,1,2,3,3,2,NA,1
"61",32,2,3,2,4,3,2,3,2,1,3,2,2,3,2,4,2
"61",33,3,2,3,2,3,3,2,1,1,3,3,3,3,1,NA,3
"61",37,4,3,3,2,3,2,2,1,1,3,3,3,3,1,NA,2
"61",40,4,1,4,3,2,2,4,2,1,2,3,3,4,2,4,2
"61",41,5,3,4,4,3,3,2,1,1,4,3,4,4,1,NA,2
"61",52,7,1,5,5,2,2,4,2,NA,NA,3,2,4,2,4,2
"61",53,1,2,3,4,3,3,3,1,1,2,3,4,2,1,NA,3
"61",56,1,4,1,2,4,1,3,1,2,4,3,4,4,1,4,1
"61",57,2,1,5,1,2,3,2,1,1,1,2,4,2,1,NA,2
"70",0,2,4,3,3,NA,2,3,2,2,1,5,4,4,1,3,3
"70",4,2,3,3,3,5,1,3,2,2,3,5,4,3,3,2,3
"70",5,3,5,1,1,4,1,4,1,1,4,5,4,4,1,NA,1
"70",8,3,3,4,4,3,2,5,2,1,3,4,3,3,2,4,1
"70",9,4,1,5,1,4,3,2,3,2,4,4,2,2,2,NA,3
"70",13,5,3,3,4,4,2,5,1,1,4,5,3,4,1,NA,1
"70",16,5,4,3,5,3,1,5,1,1,4,4,4,4,1,4,1
"70",17,6,5,1,3,5,1,5,1,1,5,5,5,5,1,NA,1
"70",20,6,5,1,1,5,1,5,1,1,5,5,4,5,1,5,1
"70",21,7,3,3,3,4,1,4,2,2,4,4,4,4,2,NA,3
"70",24,7,3,4,5,4,3,4,2,2,4,3,3,3,2,3,2
"70",25,1,5,1,1,5,1,3,1,1,4,4,4,4,1,NA,1
"70",29,2,5,2,1,5,3,3,2,1,5,4,4,4,1,NA,3
"70",32,2,2,4,3,3,4,4,4,1,4,5,2,2,1,3,4
"70",33,3,5,1,1,4,2,3,1,1,4,4,4,4,1,NA,1
"70",36,3,4,1,1,4,2,3,1,1,4,5,4,4,1,3,2
"70",37,4,4,1,1,4,1,4,1,1,4,4,4,4,1,NA,1
"70",40,4,5,1,1,5,2,4,1,1,4,5,4,4,1,5,1
"70",41,5,3,3,1,4,1,4,1,2,4,4,4,3,1,NA,1
"71",0,4,5,2,1,5,4,2,5,5,5,5,2,4,2,3,3
"71",4,4,1,5,1,5,5,1,3,1,3,3,3,2,2,2,3
"71",5,5,3,4,2,3,3,3,2,1,3,3,2,3,2,NA,2
"71",8,5,5,1,2,5,2,5,2,1,5,5,3,5,1,5,2
"71",9,6,1,5,5,3,4,3,3,NA,NA,3,2,3,4,NA,3
"71",13,7,4,2,3,4,3,3,2,1,5,3,3,4,2,NA,2
"71",16,7,5,2,2,5,4,2,3,1,5,2,4,3,3,5,3
"71",21,2,1,3,5,2,3,2,4,NA,NA,2,2,2,2,NA,4
"74",2,1,2,4,3,3,2,3,2,3,3,4,3,3,1,2,1
"74",5,2,2,3,1,3,5,1,2,NA,NA,4,3,2,1,NA,3
"74",9,3,5,1,1,5,2,5,1,1,4,5,4,5,1,NA,1
"74",12,3,1,5,3,5,2,3,3,NA,NA,4,4,3,1,2,2
"74",13,4,1,5,1,4,3,4,1,NA,NA,4,3,4,1,NA,1
"74",16,4,1,5,2,3,2,4,2,NA,NA,3,3,2,1,1,1
"74",32,1,1,5,3,5,4,4,1,1,5,5,3,3,1,3,1
"74",45,5,2,4,1,4,2,4,1,2,3,4,4,3,1,NA,2
"74",48,5,5,1,1,5,1,5,1,1,4,3,5,4,1,5,1
"74",49,6,2,4,3,3,1,3,1,1,3,4,3,3,1,NA,2
"74",56,7,5,1,1,5,1,3,1,1,4,5,4,3,1,3,1
"86",4,4,4,1,2,3,NA,4,1,1,4,2,4,4,1,3,2
"87",0,5,3,1,1,4,2,1,1,2,3,3,4,4,1,3,2
"87",1,5,1,3,1,4,2,1,1,2,3,2,3,3,1,NA,2
"87",5,6,4,2,2,3,1,3,1,1,3,3,4,4,1,NA,1
"90",2,5,2,4,4,2,4,3,2,1,4,2,2,3,2,2,2
"91",2,3,4,1,1,4,2,5,1,4,2,4,4,5,1,5,1
"91",4,3,5,1,2,4,1,4,1,2,4,4,5,5,1,5,2
"91",5,4,1,5,1,5,2,3,1,1,2,4,4,4,1,NA,1
"91",8,4,4,3,3,4,1,4,1,2,4,4,4,4,1,4,1
"91",9,5,3,2,2,4,1,4,1,2,3,4,4,4,1,NA,1
"91",12,5,5,2,2,4,1,4,1,2,4,5,4,5,1,4,4
"91",13,6,3,3,2,3,2,4,1,2,3,2,4,4,1,NA,2
"91",16,6,3,2,2,4,1,4,1,2,4,4,5,4,1,4,2
"91",17,7,2,3,2,3,1,4,1,2,4,4,3,4,1,NA,2
"91",20,7,2,4,1,4,2,3,1,NA,NA,4,4,4,1,3,1
"91",21,1,2,5,3,4,1,4,1,2,3,3,4,4,1,NA,2
"91",24,1,2,3,1,4,1,4,1,1,2,4,4,4,1,4,1
"91",25,2,4,3,2,3,1,4,1,2,NA,3,4,4,1,NA,1
"91",28,2,2,5,1,5,2,3,1,2,2,3,4,3,1,3,2
"91",29,3,4,4,2,3,2,3,1,2,2,4,4,3,1,NA,1
"91",32,3,1,4,1,4,2,4,1,NA,NA,4,4,4,1,4,1
"91",33,4,4,4,2,4,1,4,1,2,NA,3,5,4,1,NA,2
"91",36,4,4,3,3,3,1,4,1,2,3,3,4,4,1,4,2
"91",37,5,3,3,2,3,2,3,1,2,3,4,3,3,1,NA,2
"91",40,5,4,2,2,4,1,5,1,2,4,5,4,5,1,5,1
"91",41,6,3,3,1,4,2,4,1,2,3,4,4,4,1,NA,1
"91",44,6,4,3,3,4,1,5,1,2,3,4,5,5,1,5,2
"91",45,7,3,3,1,4,2,4,1,2,3,4,4,4,1,NA,3
"91",48,7,2,4,3,4,1,4,1,3,2,4,4,4,1,4,2
"91",49,1,3,4,2,4,1,4,1,2,3,4,4,4,1,NA,1
"91",52,1,2,4,3,4,2,4,1,NA,NA,4,4,4,1,3,2
"91",53,2,2,4,2,4,2,4,1,2,2,4,4,4,1,NA,2
"91",56,2,3,4,2,4,1,4,1,NA,NA,4,5,4,2,4,1
"91",57,3,4,4,2,4,2,4,1,2,2,4,4,4,1,NA,2
"94",2,5,4,3,1,4,1,4,1,4,1,5,4,4,1,4,1
"94",16,1,4,2,1,4,4,2,1,1,3,4,3,3,1,3,3
"94",20,2,1,5,1,4,2,3,1,NA,NA,3,4,2,1,2,2
"94",45,2,4,3,3,4,2,4,1,1,3,4,4,3,2,NA,3
"95",2,2,4,3,4,3,5,2,1,3,4,3,3,3,2,4,3
"95",5,3,2,3,4,4,2,3,1,4,2,2,3,3,1,NA,3
"95",9,4,5,1,5,1,5,2,1,5,2,3,1,1,3,NA,4
"95",13,5,4,1,3,2,3,2,1,4,2,1,3,3,1,NA,2
"95",17,6,2,2,5,1,5,2,1,4,1,3,1,2,2,NA,5
"95",29,2,3,2,5,1,2,4,1,4,2,4,3,3,2,NA,2
"95",37,4,5,1,4,4,3,3,1,5,2,4,5,4,1,NA,2
"95",41,5,3,1,5,2,3,1,1,5,2,1,3,3,1,NA,5
"95",45,6,5,2,1,5,1,2,1,2,5,3,3,3,1,NA,1
"95",53,1,2,5,5,3,3,3,1,5,2,4,5,3,1,NA,1
"95",57,2,3,3,5,4,5,3,1,5,2,2,2,2,3,NA,3
"97",1,5,1,4,3,3,1,3,1,1,5,2,5,3,1,3,3
"97",16,1,1,5,5,5,1,3,1,NA,NA,5,5,3,1,3,NA
"97",17,2,3,4,1,4,1,5,1,1,4,5,5,4,1,NA,1
"97",20,2,1,5,4,3,1,4,1,NA,NA,5,5,3,1,3,1
"97",21,3,1,4,3,1,1,3,1,3,3,1,5,2,1,NA,3
"97",24,3,1,5,3,5,1,5,1,NA,NA,5,5,4,1,4,2
"97",25,4,1,5,1,5,1,3,1,1,3,3,5,3,1,NA,1
"97",29,5,5,3,1,4,1,5,1,1,5,5,5,5,1,NA,1
"97",41,1,1,2,3,5,1,3,1,NA,NA,5,4,2,1,NA,3
"97",44,1,1,5,5,4,1,4,1,NA,NA,4,4,4,1,4,1
"97",45,2,2,4,1,2,2,2,1,1,4,3,4,3,1,NA,3
"97",48,2,5,1,1,5,1,5,1,1,5,5,5,5,1,5,1
"97",49,3,2,3,1,5,1,1,1,1,5,3,5,4,1,NA,1
"97",52,3,1,5,1,5,1,5,1,NA,NA,5,5,5,1,5,1
"97",53,4,3,3,1,5,1,3,1,1,5,4,5,5,1,NA,1
"97",57,5,5,3,1,5,1,4,1,1,5,5,5,4,1,NA,1
"102",1,2,2,4,2,3,3,2,1,3,3,3,3,3,2,4,2
"10107",1,5,4,2,2,5,2,4,1,5,2,4,4,4,1,5,2
"10107",20,2,3,3,2,3,3,3,2,1,3,5,4,3,2,3,3
"10107",21,3,3,NA,2,3,4,2,4,2,4,4,3,2,2,NA,4
"10107",25,4,3,3,4,5,2,4,1,1,4,5,4,4,1,NA,2
"10107",29,5,5,2,2,4,1,5,1,1,4,5,5,5,1,NA,1
"10107",37,7,2,4,3,4,1,4,1,1,3,5,4,4,2,NA,2
"10107",40,7,4,2,1,4,1,5,1,1,4,4,5,5,1,5,1
"10107",44,1,3,3,2,5,2,4,2,2,4,4,4,4,1,4,2
"10107",49,3,4,3,2,4,2,3,2,1,4,4,4,4,1,NA,2
"10107",57,5,4,2,2,4,1,3,1,3,5,4,3,4,1,NA,1
"10111",1,5,3,3,2,4,2,4,1,2,4,4,4,4,1,4,2
"10111",16,1,2,3,4,3,1,5,1,1,2,5,5,5,1,4,1
"10111",17,2,2,3,1,4,1,3,1,1,2,3,4,4,2,NA,1
"10111",20,2,2,4,2,4,2,4,1,1,3,4,4,5,1,3,3
"10111",21,3,2,3,2,4,1,4,1,1,2,4,4,5,2,NA,1
"10111",24,3,2,3,2,3,4,3,1,1,3,3,3,4,2,2,2
"10111",25,4,3,3,2,3,2,4,1,1,3,3,4,5,2,NA,1
"10111",28,4,4,4,2,4,2,4,1,1,4,3,5,5,1,4,1
